line_item,order_id,date_submitted,month_submitted,department,discount_amount,product_name,product_id,qty,price,category,color,size
1,20752,1/1/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,XL
2,20753,1/1/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Black,S
3,20753,1/1/2021,January,MCHS Department of Nursing,0,LIGHTWEIGHT SOFT-SHELL (SONIC FLEX),9470,1,64,Ladies',Black,S
4,20753,1/1/2021,January,MCHS Department of Nursing,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Cream/Charcoal,S
5,20754,1/2/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,L
6,20754,1/2/2021,January,MCHS Department of Nursing,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Dark Ash,L
7,20755,1/3/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,M
8,20756,1/4/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,M
9,20757,1/4/2021,January,Outpatient Procedure Center,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Charcoal,M
10,20759,1/4/2021,January,Outpatient Procedure Center,0,HOODED TECH FULL-ZIP SWEATSHIRT (COMPETITION),2882,1,50,Ladies',Heather Blue,M
11,20761,1/4/2021,January,MCHS Department of Nursing,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,XL
12,20761,1/4/2021,January,MCHS Department of Nursing,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,78,Ladies',Cream/Charcoal,XL
13,20762,1/4/2021,January,MCHS Department of Nursing,0,SWEATER KNIT FLEECE  (ASHTON),9892,1,62,Ladies',Heather Black,L
14,20763,1/4/2021,January,Division of Hand Surgery,0,MICRO FLEECE JACKET (SONOMA),8870,1,34,Ladies',Charcoal,M
15,20764,1/4/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,XL
16,20765,1/4/2021,January,Department of Pharmacy,0,BONDED SOFT-SHELL JACKET (MATRIX),9902,1,82,Ladies',Black/Charcoal,2XL
17,20766,1/4/2021,January,MCHS Department of Nursing,0,BONDED POLY-KNIT JACKET (FLASH),2812,1,58,Ladies',Royal Blue,L
